Taxon,leaf_thickness_um,leaf_thickness_um_SE,Family,Genus,Pathway,Reference,Species
Melilotus alba,235.0,15.0,Fabaceae,Melilotus,C3,"Iversen CM, McCormack ML, Powell AS, Blackwood CB, Freschet GT, Kattge J, Roumet C, Stover DB, Soudzilovskaia NA, Valverde-Barrantes OJ, van Bodegom PM, Violle C (2017) A global Fine-Root Ecology Database to address belowground challenges in plant ecology. New Phytologist. doi:10.1111/nph.14486.",alba
Melilotus officinalis,260.0,,Fabaceae,Melilotus,C3,"Fitter, A. H. and H. J. Peat 1994. The Ecological Flora Database. Journal of Ecology 82:415-425.",officinalis
Mentha aquatica,233.33333333333303,0.0,Lamiaceae,Mentha,C3,"Díaz, S., J. G. Hodgson, K. Thompson, M. Cabido, J. H. C. Cornelissen, A. Jalili, G. Montserrat-Martí, J. P. Grime, F. Zarrinkamar, Y. Asri, S. R. Band, S. Basconcelo, P. Castro-Díez, G. Funes, B. Hamzehee, M. Khoshnevi, N. Pérez-Harguindeguy, M. C. Pérez-Rontomé, F. A. Shirvany, F. Vendramini, S. Yazdani, R. Abbas-Azimi, A. Bogaard, S. Boustani, M. Charles, M. Dehghan, L. de Torres-Espuny, V. Falczuk, J. Guerrero-Campo, A. Hynd, G. Jones, E. Kowsary, F. Kazemi-Saeed, M. Maestro-Martínez, A. Romo-Díez, S. Shaw, B. Siavash, P. Villar-Salvador, and M. R. Zak. 2004. The plant traits that drive ecosystems: Evidence from three continents. Journal of Vegetation Science 15:295-304.",aquatica
Mentha arvensis,150.0,,Lamiaceae,Mentha,C3,"Fitter, A. H. and H. J. Peat 1994. The Ecological Flora Database. Journal of Ecology 82:415-425.",arvensis
Mentha longifolia,153.0,0.0,Lamiaceae,Mentha,C3,"Iversen CM, McCormack ML, Powell AS, Blackwood CB, Freschet GT, Kattge J, Roumet C, Stover DB, Soudzilovskaia NA, Valverde-Barrantes OJ, van Bodegom PM, Violle C (2017) A global Fine-Root Ecology Database to address belowground challenges in plant ecology. New Phytologist. doi:10.1111/nph.14486.",longifolia
Menyanthes trifoliata,285.5,,Menyanthaceae,Menyanthes,C3,"Fitter, A. H. and H. J. Peat 1994. The Ecological Flora Database. Journal of Ecology 82:415-425.",trifoliata
Mercurialis perennis,272.0,0.0,Euphorbiaceae,Mercurialis,C3,"Díaz, S., J. G. Hodgson, K. Thompson, M. Cabido, J. H. C. Cornelissen, A. Jalili, G. Montserrat-Martí, J. P. Grime, F. Zarrinkamar, Y. Asri, S. R. Band, S. Basconcelo, P. Castro-Díez, G. Funes, B. Hamzehee, M. Khoshnevi, N. Pérez-Harguindeguy, M. C. Pérez-Rontomé, F. A. Shirvany, F. Vendramini, S. Yazdani, R. Abbas-Azimi, A. Bogaard, S. Boustani, M. Charles, M. Dehghan, L. de Torres-Espuny, V. Falczuk, J. Guerrero-Campo, A. Hynd, G. Jones, E. Kowsary, F. Kazemi-Saeed, M. Maestro-Martínez, A. Romo-Díez, S. Shaw, B. Siavash, P. Villar-Salvador, and M. R. Zak. 2004. The plant traits that drive ecosystems: Evidence from three continents. Journal of Vegetation Science 15:295-304.",perennis
Metrosideros polymorpha,406.25,31.497023668911964,Myrtaceae,Metrosideros,C3,"Reich, P. B., J. Oleksyn, and I. J. Wright. 2009. Leaf phosphorus influences the photosynthesis-nitrogen relation: a cross-biome analysis of 314 species. Oecologia 160:207-212.",polymorpha
Michelia champaca,176.66666666666697,0.0,Winteraceae,Michelia,C3,"Iversen CM, McCormack ML, Powell AS, Blackwood CB, Freschet GT, Kattge J, Roumet C, Stover DB, Soudzilovskaia NA, Valverde-Barrantes OJ, van Bodegom PM, Violle C (2017) A global Fine-Root Ecology Database to address belowground challenges in plant ecology. New Phytologist. doi:10.1111/nph.14486.",champaca
Michelia champaca,176.66666666666697,0.0,Lecythidaceae,Michelia,C3,"Iversen CM, McCormack ML, Powell AS, Blackwood CB, Freschet GT, Kattge J, Roumet C, Stover DB, Soudzilovskaia NA, Valverde-Barrantes OJ, van Bodegom PM, Violle C (2017) A global Fine-Root Ecology Database to address belowground challenges in plant ecology. New Phytologist. doi:10.1111/nph.14486.",champaca
Michelia champaca,176.66666666666697,0.0,Symplocaceae,Michelia,C3,"Iversen CM, McCormack ML, Powell AS, Blackwood CB, Freschet GT, Kattge J, Roumet C, Stover DB, Soudzilovskaia NA, Valverde-Barrantes OJ, van Bodegom PM, Violle C (2017) A global Fine-Root Ecology Database to address belowground challenges in plant ecology. New Phytologist. doi:10.1111/nph.14486.",champaca
Michelia champaca,176.66666666666697,0.0,Magnoliaceae,Michelia,C3,"Iversen CM, McCormack ML, Powell AS, Blackwood CB, Freschet GT, Kattge J, Roumet C, Stover DB, Soudzilovskaia NA, Valverde-Barrantes OJ, van Bodegom PM, Violle C (2017) A global Fine-Root Ecology Database to address belowground challenges in plant ecology. New Phytologist. doi:10.1111/nph.14486.",champaca
Miconia affinis,147.03703703703704,5.001846235062259,Melastomataceae,Miconia,C3,"Cornwell WK, Wright I, Turner J, Maire V, Barbour M, Cernusak L, Dawson T, Ellsworth D, Farquhar G, Griffiths H, Keitel C, Knohl A, Reich P, Williams D, Bhaskar R, Cornelissen JHC, Richards A, Schmidt S, Valladares F, Körner C, Schulze E, Buchmann N, Santiago L. 2017. A global dataset of leaf D13 C values. 10.5281/zenodo.569501",affinis
Miconia argentea,273.25466264646735,9.58197601793669,Melastomataceae,Miconia,C3,"Cornwell WK, Wright I, Turner J, Maire V, Barbour M, Cernusak L, Dawson T, Ellsworth D, Farquhar G, Griffiths H, Keitel C, Knohl A, Reich P, Williams D, Bhaskar R, Cornelissen JHC, Richards A, Schmidt S, Valladares F, Körner C, Schulze E, Buchmann N, Santiago L. 2017. A global dataset of leaf D13 C values. 10.5281/zenodo.569501",argentea
Miconia borealis,180.0,,Melastomataceae,Miconia,C3,"Cornwell WK, Wright I, Turner J, Maire V, Barbour M, Cernusak L, Dawson T, Ellsworth D, Farquhar G, Griffiths H, Keitel C, Knohl A, Reich P, Williams D, Bhaskar R, Cornelissen JHC, Richards A, Schmidt S, Valladares F, Körner C, Schulze E, Buchmann N, Santiago L. 2017. A global dataset of leaf D13 C values. 10.5281/zenodo.569501",borealis
Miconia trinervia,220.8,3.3907437026621245,Melastomataceae,Miconia,C3,"Lin Y-S, Medlyn BE, Duursma RA, Prentice IC, Wang H, Baig S, Eamus D, De Dios VR, Mitchell P, Ellsworth DS, De Beeck MO, Wallin G, Uddling J, Tarvainen L, Linderson M-L, Cernusak LA, Nippert JB, Ocheltree TW, Tissue DT, Martin-StPaul NK, Rogers A, Warren JM, De Angelis P, Hikosaka K, Han Q, Onoda Y, Gimeno TE, Barton CVM, Bennie J, Bonal D, Bosc A, Löw M, Macinins-Ng C, Rey A, Rowland L, Setterfield SA, Tausz-Posch S, Zaragoza-Castells J, Broadmeadow MSJ, Drake JE, Freeman M, Ghannoum O, Hutley LB, Kelly JW, Kikuzawa K, Kolari P, Koyama K, Limousin J-M, Meir P, Da Costa ACL, Mikkelsen TN, Salinas N, Sun W, Wingate L, (2015) Optimal stomatal behaviour around the world. Nature Climate Change 5(5): 459-464 DOI: 10.1038/NCLIMATE2550",trinervia
Microgramma reptans,405.0,62.727364186436034,Polypodiaceae,Microgramma,C3,"Cornwell WK, Wright I, Turner J, Maire V, Barbour M, Cernusak L, Dawson T, Ellsworth D, Farquhar G, Griffiths H, Keitel C, Knohl A, Reich P, Williams D, Bhaskar R, Cornelissen JHC, Richards A, Schmidt S, Valladares F, Körner C, Schulze E, Buchmann N, Santiago L. 2017. A global dataset of leaf D13 C values. 10.5281/zenodo.569501",reptans
Microlaena stipoides,87.5,,Poaceae,Microlaena,C3,"Iversen CM, McCormack ML, Powell AS, Blackwood CB, Freschet GT, Kattge J, Roumet C, Stover DB, Soudzilovskaia NA, Valverde-Barrantes OJ, van Bodegom PM, Violle C (2017) A global Fine-Root Ecology Database to address belowground challenges in plant ecology. New Phytologist. doi:10.1111/nph.14486.",stipoides
Micropholis guyanensis,255.21975304874377,2.5986156372772413,Sapotaceae,Micropholis,C3,"Cornwell WK, Wright I, Turner J, Maire V, Barbour M, Cernusak L, Dawson T, Ellsworth D, Farquhar G, Griffiths H, Keitel C, Knohl A, Reich P, Williams D, Bhaskar R, Cornelissen JHC, Richards A, Schmidt S, Valladares F, Körner C, Schulze E, Buchmann N, Santiago L. 2017. A global dataset of leaf D13 C values. 10.5281/zenodo.569501",guyanensis
Micropholis obscura,293.5999989827474,4.814376295056376,Sapotaceae,Micropholis,C3,"Cornwell WK, Wright I, Turner J, Maire V, Barbour M, Cernusak L, Dawson T, Ellsworth D, Farquhar G, Griffiths H, Keitel C, Knohl A, Reich P, Williams D, Bhaskar R, Cornelissen JHC, Richards A, Schmidt S, Valladares F, Körner C, Schulze E, Buchmann N, Santiago L. 2017. A global dataset of leaf D13 C values. 10.5281/zenodo.569501",obscura
Micropholis venulosa,180.23055525885684,7.450023584071638,Sapotaceae,Micropholis,C3,"Cornwell WK, Wright I, Turner J, Maire V, Barbour M, Cernusak L, Dawson T, Ellsworth D, Farquhar G, Griffiths H, Keitel C, Knohl A, Reich P, Williams D, Bhaskar R, Cornelissen JHC, Richards A, Schmidt S, Valladares F, Körner C, Schulze E, Buchmann N, Santiago L. 2017. A global dataset of leaf D13 C values. 10.5281/zenodo.569501",venulosa
Microstegium vimineum,80.0,,Poaceae,Microstegium,C4,"Iversen CM, McCormack ML, Powell AS, Blackwood CB, Freschet GT, Kattge J, Roumet C, Stover DB, Soudzilovskaia NA, Valverde-Barrantes OJ, van Bodegom PM, Violle C (2017) A global Fine-Root Ecology Database to address belowground challenges in plant ecology. New Phytologist. doi:10.1111/nph.14486.",vimineum
Mimozyganthus carinatus,252.70833333333303,,Fabaceae,Mimozyganthus,C3,"Cornwell, W. K., J. H. C. Cornelissen, K. Amatangelo, E. Dorrepaal, V. T. Eviner, O. Godoy, S. E. Hobbie, B. Hoorens, H. Kurokawa, N. Pérez-Harguindeguy, H. M. Quested, L. S. Santiago, D. A. Wardle, I. J. Wright, R. Aerts, S. D. Allison, P. van Bodegom, V. Brovkin, A. Chatain, T. V. Callaghan, S. Díaz, E. Garnier, D. E. Gurvich, E. Kazakou, J. A. Klein, J. Read, P. B. Reich, N. A. Soudzilovskaia, M. V. Vaieretti, and M. Westoby. 2008. Plant species traits are the predominant control on litter decomposition rates within biomes worldwide. Ecology Letters 11:1065-1071.",carinatus
Minquartia guianensis,173.04032926834168,3.3180547319836746,Olacaceae,Minquartia,C3,"Cornwell WK, Wright I, Turner J, Maire V, Barbour M, Cernusak L, Dawson T, Ellsworth D, Farquhar G, Griffiths H, Keitel C, Knohl A, Reich P, Williams D, Bhaskar R, Cornelissen JHC, Richards A, Schmidt S, Valladares F, Körner C, Schulze E, Buchmann N, Santiago L. 2017. A global dataset of leaf D13 C values. 10.5281/zenodo.569501",guianensis
Minuartia aizoides,323.870966920451,,Caryophyllaceae,Minuartia,C3,"Iversen CM, McCormack ML, Powell AS, Blackwood CB, Freschet GT, Kattge J, Roumet C, Stover DB, Soudzilovskaia NA, Valverde-Barrantes OJ, van Bodegom PM, Violle C (2017) A global Fine-Root Ecology Database to address belowground challenges in plant ecology. New Phytologist. doi:10.1111/nph.14486.",aizoides
Minuartia circassica,326.49999902764506,,Caryophyllaceae,Minuartia,C3,"Iversen CM, McCormack ML, Powell AS, Blackwood CB, Freschet GT, Kattge J, Roumet C, Stover DB, Soudzilovskaia NA, Valverde-Barrantes OJ, van Bodegom PM, Violle C (2017) A global Fine-Root Ecology Database to address belowground challenges in plant ecology. New Phytologist. doi:10.1111/nph.14486.",circassica
Mnesithea rottboellioides,156.66666666666666,3.3333333333333335,Poaceae,Mnesithea,C4,"Craine, J. M., W. G. Lee, W. J. Bond, R. J. Williams, and L. C. Johnson. 2005. Environmental constraints on a global relationship among leaf and root traits of grasses. Ecology 86:12-19.",rottboellioides
Modiola caroliniana,220.0,7.3627797954162295,Malvaceae,Modiola,C3,"Cornwell, W. K., J. H. C. Cornelissen, K. Amatangelo, E. Dorrepaal, V. T. Eviner, O. Godoy, S. E. Hobbie, B. Hoorens, H. Kurokawa, N. Pérez-Harguindeguy, H. M. Quested, L. S. Santiago, D. A. Wardle, I. J. Wright, R. Aerts, S. D. Allison, P. van Bodegom, V. Brovkin, A. Chatain, T. V. Callaghan, S. Díaz, E. Garnier, D. E. Gurvich, E. Kazakou, J. A. Klein, J. Read, P. B. Reich, N. A. Soudzilovskaia, M. V. Vaieretti, and M. Westoby. 2008. Plant species traits are the predominant control on litter decomposition rates within biomes worldwide. Ecology Letters 11:1065-1071.",caroliniana
Molinia caerulea,138.0,,Poaceae,Molinia,C3,"Cornwell, W. K., J. H. C. Cornelissen, K. Amatangelo, E. Dorrepaal, V. T. Eviner, O. Godoy, S. E. Hobbie, B. Hoorens, H. Kurokawa, N. Pérez-Harguindeguy, H. M. Quested, L. S. Santiago, D. A. Wardle, I. J. Wright, R. Aerts, S. D. Allison, P. van Bodegom, V. Brovkin, A. Chatain, T. V. Callaghan, S. Díaz, E. Garnier, D. E. Gurvich, E. Kazakou, J. A. Klein, J. Read, P. B. Reich, N. A. Soudzilovskaia, M. V. Vaieretti, and M. Westoby. 2008. Plant species traits are the predominant control on litter decomposition rates within biomes worldwide. Ecology Letters 11:1065-1071.",caerulea
Mollugo verticillata,350.0,,Molluginaceae,Mollugo,C3,"Cornwell WK, Wright I, Turner J, Maire V, Barbour M, Cernusak L, Dawson T, Ellsworth D, Farquhar G, Griffiths H, Keitel C, Knohl A, Reich P, Williams D, Bhaskar R, Cornelissen JHC, Richards A, Schmidt S, Valladares F, Körner C, Schulze E, Buchmann N, Santiago L. 2017. A global dataset of leaf D13 C values. 10.5281/zenodo.569501",verticillata
Monarda fistulosa,176.66666666666666,53.64492313143693,Lamiaceae,Monarda,C3,"Iversen CM, McCormack ML, Powell AS, Blackwood CB, Freschet GT, Kattge J, Roumet C, Stover DB, Soudzilovskaia NA, Valverde-Barrantes OJ, van Bodegom PM, Violle C (2017) A global Fine-Root Ecology Database to address belowground challenges in plant ecology. New Phytologist. doi:10.1111/nph.14486.",fistulosa
Moronobea coccinea,263.1822219509549,3.3911606840329154,Clusiaceae,Moronobea,C3,"Cornwell WK, Wright I, Turner J, Maire V, Barbour M, Cernusak L, Dawson T, Ellsworth D, Farquhar G, Griffiths H, Keitel C, Knohl A, Reich P, Williams D, Bhaskar R, Cornelissen JHC, Richards A, Schmidt S, Valladares F, Körner C, Schulze E, Buchmann N, Santiago L. 2017. A global dataset of leaf D13 C values. 10.5281/zenodo.569501",coccinea
Morus alba,424.24242424242397,,Moraceae,Morus,C3,"Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819",alba
Mouriri crassifolia,315.99696953513404,6.8552508627252315,Melastomataceae,Mouriri,C3,"Cornwell WK, Wright I, Turner J, Maire V, Barbour M, Cernusak L, Dawson T, Ellsworth D, Farquhar G, Griffiths H, Keitel C, Knohl A, Reich P, Williams D, Bhaskar R, Cornelissen JHC, Richards A, Schmidt S, Valladares F, Körner C, Schulze E, Buchmann N, Santiago L. 2017. A global dataset of leaf D13 C values. 10.5281/zenodo.569501",crassifolia
Myosotis alpestris,295.55555555555554,15.010284540118107,Boraginaceae,Myosotis,C3,"Fitter, A. H. and H. J. Peat 1994. The Ecological Flora Database. Journal of Ecology 82:415-425.",alpestris
Myosotis scorpioides,176.00000000000003,0.0,Boraginaceae,Myosotis,C3,"Díaz, S., J. G. Hodgson, K. Thompson, M. Cabido, J. H. C. Cornelissen, A. Jalili, G. Montserrat-Martí, J. P. Grime, F. Zarrinkamar, Y. Asri, S. R. Band, S. Basconcelo, P. Castro-Díez, G. Funes, B. Hamzehee, M. Khoshnevi, N. Pérez-Harguindeguy, M. C. Pérez-Rontomé, F. A. Shirvany, F. Vendramini, S. Yazdani, R. Abbas-Azimi, A. Bogaard, S. Boustani, M. Charles, M. Dehghan, L. de Torres-Espuny, V. Falczuk, J. Guerrero-Campo, A. Hynd, G. Jones, E. Kowsary, F. Kazemi-Saeed, M. Maestro-Martínez, A. Romo-Díez, S. Shaw, B. Siavash, P. Villar-Salvador, and M. R. Zak. 2004. The plant traits that drive ecosystems: Evidence from three continents. Journal of Vegetation Science 15:295-304.",scorpioides
Myrcia fallax,243.33333333333326,2.896357866163794,Myrtaceae,Myrcia,C3,"Cornwell WK, Wright I, Turner J, Maire V, Barbour M, Cernusak L, Dawson T, Ellsworth D, Farquhar G, Griffiths H, Keitel C, Knohl A, Reich P, Williams D, Bhaskar R, Cornelissen JHC, Richards A, Schmidt S, Valladares F, Körner C, Schulze E, Buchmann N, Santiago L. 2017. A global dataset of leaf D13 C values. 10.5281/zenodo.569501",fallax
Myrciaria cauliflora,161.839394793737,11.223242081621997,Myrtaceae,Myrciaria,C3,"Iversen CM, McCormack ML, Powell AS, Blackwood CB, Freschet GT, Kattge J, Roumet C, Stover DB, Soudzilovskaia NA, Valverde-Barrantes OJ, van Bodegom PM, Violle C (2017) A global Fine-Root Ecology Database to address belowground challenges in plant ecology. New Phytologist. doi:10.1111/nph.14486.",cauliflora
Myrica esculenta,250.0,,Myricaceae,Myrica,C3,"Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819",esculenta
Myrsine gardneriana,284.8333333333333,32.13556354639584,Primulaceae,Myrsine,C3,"Cornwell WK, Wright I, Turner J, Maire V, Barbour M, Cernusak L, Dawson T, Ellsworth D, Farquhar G, Griffiths H, Keitel C, Knohl A, Reich P, Williams D, Bhaskar R, Cornelissen JHC, Richards A, Schmidt S, Valladares F, Körner C, Schulze E, Buchmann N, Santiago L. 2017. A global dataset of leaf D13 C values. 10.5281/zenodo.569501",gardneriana
Myrtus communis,237.03750000000002,29.869575923557644,Myrtaceae,Myrtus,C3,"Cornwell, W. K., J. H. C. Cornelissen, K. Amatangelo, E. Dorrepaal, V. T. Eviner, O. Godoy, S. E. Hobbie, B. Hoorens, H. Kurokawa, N. Pérez-Harguindeguy, H. M. Quested, L. S. Santiago, D. A. Wardle, I. J. Wright, R. Aerts, S. D. Allison, P. van Bodegom, V. Brovkin, A. Chatain, T. V. Callaghan, S. Díaz, E. Garnier, D. E. Gurvich, E. Kazakou, J. A. Klein, J. Read, P. B. Reich, N. A. Soudzilovskaia, M. V. Vaieretti, and M. Westoby. 2008. Plant species traits are the predominant control on litter decomposition rates within biomes worldwide. Ecology Letters 11:1065-1071.",communis
Nardus stricta,234.518518636023,21.481481363977007,Poaceae,Nardus,C3,"Díaz, S., J. G. Hodgson, K. Thompson, M. Cabido, J. H. C. Cornelissen, A. Jalili, G. Montserrat-Martí, J. P. Grime, F. Zarrinkamar, Y. Asri, S. R. Band, S. Basconcelo, P. Castro-Díez, G. Funes, B. Hamzehee, M. Khoshnevi, N. Pérez-Harguindeguy, M. C. Pérez-Rontomé, F. A. Shirvany, F. Vendramini, S. Yazdani, R. Abbas-Azimi, A. Bogaard, S. Boustani, M. Charles, M. Dehghan, L. de Torres-Espuny, V. Falczuk, J. Guerrero-Campo, A. Hynd, G. Jones, E. Kowsary, F. Kazemi-Saeed, M. Maestro-Martínez, A. Romo-Díez, S. Shaw, B. Siavash, P. Villar-Salvador, and M. R. Zak. 2004. The plant traits that drive ecosystems: Evidence from three continents. Journal of Vegetation Science 15:295-304.",stricta
Nasturtium officinale,120.0,,Brassicaceae,Nasturtium,C3,"Fitter, A. H. and H. J. Peat 1994. The Ecological Flora Database. Journal of Ecology 82:415-425.",officinale
Nectandra membranacea,146.0,12.077527340754262,Lauraceae,Nectandra,C3,"Smith, N. G. and Dukes, J. S. (2017), LCE: leaf carbon exchange data set for tropical, temperate, and boreal species of North and Central America. Ecology, 98: 2978. doi:10.1002/ecy.1992",membranacea
Nectandra purpurea,188.33333333333334,5.202258361855173,Lauraceae,Nectandra,C3,"Cornwell, W. K., J. H. C. Cornelissen, K. Amatangelo, E. Dorrepaal, V. T. Eviner, O. Godoy, S. E. Hobbie, B. Hoorens, H. Kurokawa, N. Pérez-Harguindeguy, H. M. Quested, L. S. Santiago, D. A. Wardle, I. J. Wright, R. Aerts, S. D. Allison, P. van Bodegom, V. Brovkin, A. Chatain, T. V. Callaghan, S. Díaz, E. Garnier, D. E. Gurvich, E. Kazakou, J. A. Klein, J. Read, P. B. Reich, N. A. Soudzilovskaia, M. V. Vaieretti, and M. Westoby. 2008. Plant species traits are the predominant control on litter decomposition rates within biomes worldwide. Ecology Letters 11:1065-1071.",purpurea
Nepeta cataria,130.0,,Lamiaceae,Nepeta,C3,"Fitter, A. H. and H. J. Peat 1994. The Ecological Flora Database. Journal of Ecology 82:415-425.",cataria
Nephelium lappaceum,180.0,,Sapindaceae,Nephelium,C3,"Iversen CM, McCormack ML, Powell AS, Blackwood CB, Freschet GT, Kattge J, Roumet C, Stover DB, Soudzilovskaia NA, Valverde-Barrantes OJ, van Bodegom PM, Violle C (2017) A global Fine-Root Ecology Database to address belowground challenges in plant ecology. New Phytologist. doi:10.1111/nph.14486.",lappaceum
Nephelium ramboutan-ake,144.285714285714,,Sapindaceae,Nephelium,C3,"Smith, N. G. and Dukes, J. S. (2017), LCE: leaf carbon exchange data set for tropical, temperate, and boreal species of North and Central America. Ecology, 98: 2978. doi:10.1002/ecy.1992",ramboutan-ake
Nephrolepis rivularis,220.55555555555554,10.423146132940955,Polypodiaceae,Nephrolepis,C3,"Cornwell WK, Wright I, Turner J, Maire V, Barbour M, Cernusak L, Dawson T, Ellsworth D, Farquhar G, Griffiths H, Keitel C, Knohl A, Reich P, Williams D, Bhaskar R, Cornelissen JHC, Richards A, Schmidt S, Valladares F, Körner C, Schulze E, Buchmann N, Santiago L. 2017. A global dataset of leaf D13 C values. 10.5281/zenodo.569501",rivularis
Nerium oleander,465.0,,Apocynaceae,Nerium,C3,"Wright, I. J., P. B. Reich, M. Westoby, D. D. Ackerly, Z. Baruch, F. Bongers, J. Cavender-Bares, T. Chapin, J. H. C. Cornelissen, M. Diemer, J. Flexas, E. Garnier, P. K. Groom, J. Gulias, K. Hikosaka, B. B. Lamont, T. Lee, W. Lee, C. Lusk, J. J. Midgley, M. L. Navas, U. Niinemets, J. Oleksyn, N. Osada, H. Poorter, P. Poot, L. Prior, V. I. Pyankov, C. Roumet, S. C. Thomas, M. G. Tjoelker, E. J. Veneklaas, and R. Villar. 2004. The worldwide leaf economics spectrum. Nature 428:821-827.",oleander
Nesogordonia papaverifera,145.06666666666666,12.885306015423588,Malvaceae,Nesogordonia,C3,"Domingues TF, Meir P, Feldpausch TR, et al. (2010) Co-limitation of photosynthetic capacity by nitrogen and phosphorus in West Africa woodlands. Plant, Cell & Environment (33): 959-980.",papaverifera
Nicotiana glauca,396.6666666666671,,Solanaceae,Nicotiana,C3,"Cornwell, W. K., J. H. C. Cornelissen, K. Amatangelo, E. Dorrepaal, V. T. Eviner, O. Godoy, S. E. Hobbie, B. Hoorens, H. Kurokawa, N. Pérez-Harguindeguy, H. M. Quested, L. S. Santiago, D. A. Wardle, I. J. Wright, R. Aerts, S. D. Allison, P. van Bodegom, V. Brovkin, A. Chatain, T. V. Callaghan, S. Díaz, E. Garnier, D. E. Gurvich, E. Kazakou, J. A. Klein, J. Read, P. B. Reich, N. A. Soudzilovskaia, M. V. Vaieretti, and M. Westoby. 2008. Plant species traits are the predominant control on litter decomposition rates within biomes worldwide. Ecology Letters 11:1065-1071.",glauca
Nothofagus antarctica,260.0,,Nothofagaceae,Nothofagus,C3,"Cornwell WK, Wright I, Turner J, Maire V, Barbour M, Cernusak L, Dawson T, Ellsworth D, Farquhar G, Griffiths H, Keitel C, Knohl A, Reich P, Williams D, Bhaskar R, Cornelissen JHC, Richards A, Schmidt S, Valladares F, Körner C, Schulze E, Buchmann N, Santiago L. 2017. A global dataset of leaf D13 C values. 10.5281/zenodo.569501",antarctica
Nothofagus cunninghamii,238.75,11.848874770767619,Nothofagaceae,Nothofagus,C3,"Cornwell WK, Wright I, Turner J, Maire V, Barbour M, Cernusak L, Dawson T, Ellsworth D, Farquhar G, Griffiths H, Keitel C, Knohl A, Reich P, Williams D, Bhaskar R, Cornelissen JHC, Richards A, Schmidt S, Valladares F, Körner C, Schulze E, Buchmann N, Santiago L. 2017. A global dataset of leaf D13 C values. 10.5281/zenodo.569501",cunninghamii
Nothofagus fusca,173.00000000000003,,Nothofagaceae,Nothofagus,C3,"Cornwell, W. K., J. H. C. Cornelissen, K. Amatangelo, E. Dorrepaal, V. T. Eviner, O. Godoy, S. E. Hobbie, B. Hoorens, H. Kurokawa, N. Pérez-Harguindeguy, H. M. Quested, L. S. Santiago, D. A. Wardle, I. J. Wright, R. Aerts, S. D. Allison, P. van Bodegom, V. Brovkin, A. Chatain, T. V. Callaghan, S. Díaz, E. Garnier, D. E. Gurvich, E. Kazakou, J. A. Klein, J. Read, P. B. Reich, N. A. Soudzilovskaia, M. V. Vaieretti, and M. Westoby. 2008. Plant species traits are the predominant control on litter decomposition rates within biomes worldwide. Ecology Letters 11:1065-1071.",fusca
Nothofagus menziesii,308.0,16.477257053284074,Nothofagaceae,Nothofagus,C3,"Cornwell, W. K., J. H. C. Cornelissen, K. Amatangelo, E. Dorrepaal, V. T. Eviner, O. Godoy, S. E. Hobbie, B. Hoorens, H. Kurokawa, N. Pérez-Harguindeguy, H. M. Quested, L. S. Santiago, D. A. Wardle, I. J. Wright, R. Aerts, S. D. Allison, P. van Bodegom, V. Brovkin, A. Chatain, T. V. Callaghan, S. Díaz, E. Garnier, D. E. Gurvich, E. Kazakou, J. A. Klein, J. Read, P. B. Reich, N. A. Soudzilovskaia, M. V. Vaieretti, and M. Westoby. 2008. Plant species traits are the predominant control on litter decomposition rates within biomes worldwide. Ecology Letters 11:1065-1071.",menziesii
Nothofagus solandri,397.0,,Nothofagaceae,Nothofagus,C3,"Cornwell, W. K., J. H. C. Cornelissen, K. Amatangelo, E. Dorrepaal, V. T. Eviner, O. Godoy, S. E. Hobbie, B. Hoorens, H. Kurokawa, N. Pérez-Harguindeguy, H. M. Quested, L. S. Santiago, D. A. Wardle, I. J. Wright, R. Aerts, S. D. Allison, P. van Bodegom, V. Brovkin, A. Chatain, T. V. Callaghan, S. Díaz, E. Garnier, D. E. Gurvich, E. Kazakou, J. A. Klein, J. Read, P. B. Reich, N. A. Soudzilovskaia, M. V. Vaieretti, and M. Westoby. 2008. Plant species traits are the predominant control on litter decomposition rates within biomes worldwide. Ecology Letters 11:1065-1071.",solandri
Nothoscordum gracile,659.063333333333,,Amaryllidaceae,Nothoscordum,C3,"Cornwell, W. K., J. H. C. Cornelissen, K. Amatangelo, E. Dorrepaal, V. T. Eviner, O. Godoy, S. E. Hobbie, B. Hoorens, H. Kurokawa, N. Pérez-Harguindeguy, H. M. Quested, L. S. Santiago, D. A. Wardle, I. J. Wright, R. Aerts, S. D. Allison, P. van Bodegom, V. Brovkin, A. Chatain, T. V. Callaghan, S. Díaz, E. Garnier, D. E. Gurvich, E. Kazakou, J. A. Klein, J. Read, P. B. Reich, N. A. Soudzilovskaia, M. V. Vaieretti, and M. Westoby. 2008. Plant species traits are the predominant control on litter decomposition rates within biomes worldwide. Ecology Letters 11:1065-1071.",gracile
